"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,272,277,257,246,228,218,235,268,199,220,211,290,206,189
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium",0,0,0,0,0,0,0,0,0,0,0,0,60,59,71,52,50,39,38,30,40,25,32,18,54,67
"d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__possible_genus_04",0,0,0,0,0,0,0,0,0,0,0,0,71,75,89,98,98,102,81,66,81,69,99,75,87,92
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;g__Geminicoccus",0,0,0,0,0,0,0,0,0,0,0,0,48,82,62,80,62,94,43,75,66,89,59,79,78,62
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hirschia",0,0,0,0,0,0,0,0,0,0,0,0,38,61,59,33,59,40,38,43,21,39,23,24,43,51
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,204,208,160,191,183,165,135,157,169,130,242,140,125,234
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiales_Incertae_Sedis;g__Motilibacter",0,0,0,0,0,0,0,0,0,0,0,0,74,53,98,78,53,53,56,66,85,73,109,65,48,46
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,13,8,2,23,8,14,0,0,9,12,6,13,15,10
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Dechloromonas",0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,3,0,2,11,2,5,5,9,2,0,2
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter",0,0,0,0,0,0,0,0,0,0,0,0,415,460,424,500,559,522,583,522,620,648,575,693,700,698
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter",0,0,0,0,0,0,0,0,0,0,0,0,45,62,84,56,67,94,42,30,48,40,33,37,64,58
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Dactylosporangium",0,0,0,0,0,0,0,0,0,0,0,0,362,363,385,279,425,299,312,246,329,307,294,327,348,319
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,5,0,0,2,7,2,0,1,13,9
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Ahniella",0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,7,5,0,3,5,0,8,4,13,9,9
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,53,88,80,56,66,49,83,66,71,85,65,76,66,66
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillales_Incertae_Sedis;g__Constrictibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,3,9,10,0,3,10,0,6,3,5
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella",0,0,0,0,0,0,0,0,0,0,0,0,12,18,2,6,6,14,0,0,0,10,3,10,3,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis;g__Bauldia",0,0,0,0,0,0,0,0,0,0,0,0,34,28,40,36,37,42,51,32,41,36,64,30,26,4
"d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,4,0,0,11,1,0,10,0,13
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__Paludisphaera",0,0,0,0,0,0,0,0,0,0,0,0,9,20,18,6,12,5,20,0,8,9,12,3,8,9
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__DSSF69",0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,2,6,3,11,12,13,3,7,3,5,7
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae;g__Chthonobacter",0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,3,4,1,7,0,13,0,8,4,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Pseudohongiellaceae;g__BIyi10",0,0,0,0,0,0,0,0,0,0,0,0,103,144,83,103,125,135,81,67,83,133,93,73,109,86
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__Sandaracinus",0,0,0,0,0,0,0,0,0,0,0,0,5,14,17,17,15,10,25,10,12,12,16,0,18,19
"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__CPla-3_termite_group;g__CPla-3_termite_group",0,0,0,0,0,0,0,0,0,0,0,0,26,30,21,22,23,22,50,34,21,39,37,15,15,46
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Opitutus",0,0,0,0,0,0,0,0,0,0,0,0,260,256,262,250,249,312,213,196,224,212,194,254,166,219
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudorhodoplanes",0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,6,4,0,0,0,0,4,12,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Lechevalieria",0,0,0,0,0,0,0,0,0,0,0,0,260,185,229,268,215,274,206,259,251,242,198,236,314,274
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,360,307,361,317,368,340,410,458,395,366,375,416,489,325
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,18,15,20,9,10,10,22,4,3,6,32,6,0,24
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidetes_VC2.1_Bac22;f__Bacteroidetes_VC2.1_Bac22;g__Bacteroidetes_VC2.1_Bac22",0,0,0,0,0,0,0,0,0,0,0,0,12,8,6,4,6,11,8,12,3,4,1,7,0,4
"d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__Armatimonas",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,3,9,4,0,1,19,1,6,8
"d__Bacteria;p__Armatimonadota;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,17,24,13,14,15,14,21,25,7,7,8,18,4,23
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__OLB12",0,0,0,0,0,0,0,0,0,0,0,0,27,31,31,36,40,17,20,7,24,16,21,13,21,21
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__UA11;f__UA11;g__UA11",0,0,0,0,0,0,0,0,0,0,0,0,22,22,24,6,15,6,5,17,37,36,14,20,12,8
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Umezawaea",0,0,0,0,0,0,0,0,0,0,0,0,46,50,32,16,59,34,38,49,49,48,45,55,34,26
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Melittangium",0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,5,10,2,0,0,9,7,7,10,10,11
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas",0,0,0,0,0,0,0,0,0,0,0,0,39,28,30,6,38,45,9,21,36,11,18,20,32,36
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Cellulosimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,11,8,8,8,6,16,13,9,8,8,13,0,12,6
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola",0,0,0,0,0,0,0,0,0,0,0,0,27,38,42,36,46,36,25,15,13,35,48,45,36,37
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__alphaI_cluster",0,0,0,0,0,0,0,0,0,0,0,0,27,43,59,27,49,51,22,30,65,38,28,42,34,20
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Tumebacillus",0,0,0,0,0,0,0,0,0,0,0,0,163,118,178,168,150,169,158,139,145,149,152,180,161,142
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Rufibacter",0,0,0,0,0,0,0,0,0,0,0,0,55,70,126,81,87,102,97,118,51,79,71,85,86,82
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseococcus",0,0,0,0,0,0,0,0,0,0,0,0,9,18,4,13,25,21,14,16,11,19,3,20,21,8
"d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,18,11,16,8,16,26,11,14,9,5,16,0,13,8
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,156,185,166,165,146,138,142,145,104,124,154,149,134,94
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium",0,0,0,0,0,0,0,0,0,0,0,0,28,38,53,26,46,56,8,38,11,39,13,37,23,26
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,19,10,9,7,13,16,12,13,7,27,0,14,27,15
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhapis",0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,0,9,5,5,9,6,5,3,0,0,1
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Oscillochloris",0,0,0,0,0,0,0,0,0,0,0,0,40,35,35,24,33,28,66,59,49,57,19,36,51,43
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,9,20,20,17,6,14,14,12,5,5,27,13,19,30
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Angustibacter",0,0,0,0,0,0,0,0,0,0,0,0,961,960,1052,1014,987,811,846,911,897,920,944,912,802,689
"d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,26,3,9,8,15,5,0,0,0,0,0,0,0,0
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,4,0,5,6,0,10,16,11,8,5
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Tuwongella",0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,6,13,4,14,14,14,17,5,7,24,13
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter",0,0,0,0,0,0,0,0,0,0,0,0,445,475,500,485,477,492,682,570,646,533,661,683,839,592
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,4,0,7,10,4,4,0,4,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Cohnella",0,0,0,0,0,0,0,0,0,0,0,0,16,10,12,8,5,7,9,6,8,9,13,8,14,17
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Candidatus_Chloroploca",0,0,0,0,0,0,0,0,0,0,0,0,6,9,1,9,0,5,16,3,3,0,1,3,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,8,12,4,11,6,8,14,2,0,4,11,2,0,0
"d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas",0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,2,4,3,5,3,7,0,1,2,3,9
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Chloronema",0,0,0,0,0,0,0,0,0,0,0,0,25,17,13,17,4,19,56,27,15,22,10,14,13,44
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae;g__Rhodocytophaga",0,0,0,0,0,0,0,0,0,0,0,0,316,236,248,245,208,236,265,201,190,188,194,195,166,270
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__A0839;g__A0839",0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,3,5,8,6,1,6,2,9,2,0,4
"d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,22,28,25,22,23,44,22,21,20,24,45,26,14,22
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Terrabacter",0,0,0,0,0,0,0,0,0,0,0,0,451,548,534,539,502,541,470,452,428,408,418,442,407,342
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Rhizocola",0,0,0,0,0,0,0,0,0,0,0,0,150,144,152,174,140,134,112,134,97,132,137,133,173,104
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,56,59,57,48,42,53,49,39,65,52,66,48,38,46
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Minicystis",0,0,0,0,0,0,0,0,0,0,0,0,11,5,12,16,11,1,8,9,15,2,6,0,11,9
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Luedemannella",0,0,0,0,0,0,0,0,0,0,0,0,41,83,75,72,87,72,72,57,64,68,45,70,67,56
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Puia",0,0,0,0,0,0,0,0,0,0,0,0,80,50,79,69,46,63,52,62,45,34,74,68,89,74
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Psychroglaciecola",0,0,0,0,0,0,0,0,0,0,0,0,429,421,351,391,424,402,379,352,341,363,399,335,373,366
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter",0,0,0,0,0,0,0,0,0,0,0,0,46,43,47,42,88,58,34,74,40,59,44,25,29,43
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Nitrosococcaceae;g__SZB85",0,0,0,0,0,0,0,0,0,0,0,0,292,333,278,331,311,356,255,363,307,264,329,253,316,285
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae;g__Prosthecomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,1,0,9,0,8,6,3,8,9,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Terrisporobacter",0,0,0,0,0,0,0,0,0,0,0,0,22,11,14,11,3,11,10,8,18,7,2,3,6,25
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter",0,0,0,0,0,0,0,0,0,0,0,0,347,450,421,425,380,366,258,316,299,280,279,330,354,321
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera",0,0,0,0,0,0,0,0,0,0,0,0,12,25,10,9,13,12,3,12,12,18,7,7,8,3
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__Dongia",0,0,0,0,0,0,0,0,0,0,0,0,129,159,219,159,172,150,137,129,92,154,167,156,167,130
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__D05-2;g__D05-2",0,0,0,0,0,0,0,0,0,0,0,0,13,14,16,48,17,19,28,20,5,8,4,19,9,23
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,10,14,13,2,12,2,13,0,9,9,3,10,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_13",0,0,0,0,0,0,0,0,0,0,0,0,44,20,62,53,61,62,42,23,66,49,28,34,57,54
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Allocatelliglobosispora",0,0,0,0,0,0,0,0,0,0,0,0,9,13,6,6,12,26,8,1,14,16,19,8,5,8
"d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Citrifermentans",0,0,0,0,0,0,0,0,0,0,0,0,21,13,12,7,18,8,11,6,17,20,14,31,15,36
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavitalea",0,0,0,0,0,0,0,0,0,0,0,0,62,79,97,91,81,104,50,73,94,45,84,86,85,77
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__Sporichthya",0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,2,7,11,12,5,0,0,9,6,15,11
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,25,41,34,33,51,33,25,33,36,44,44,19,28,48
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae;g__Nitrolancea",0,0,0,0,0,0,0,0,0,0,0,0,65,60,49,70,70,67,84,68,103,82,134,126,80,97
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,15,10,17,26,7,16,14,16,11,6,4,19,5,5
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus_Koribacter",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,10,3,11,3,6,8,3,6,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Caloramatoraceae;g__Fonticella",0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,4,9,3,3,0,3,4,8,0,7,1
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Tissierella",0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,2,2,16,2,0,3,3,5,1,0,3
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,22,13,13,18,10,15,12,38,18,21,0,2,8,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,11,21,28,28,13,42,31,28,34,27,15,11,42,18
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Nibribacter",0,0,0,0,0,0,0,0,0,0,0,0,7,20,7,11,16,8,2,6,2,5,8,5,10,3
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,73,54,32,56,24,48,39,39,36,26,47,48,30,39
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Bordetella",0,0,0,0,0,0,0,0,0,0,0,0,2,12,5,8,2,7,13,1,0,0,0,15,0,14
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae;g__Georgenia",0,0,0,0,0,0,0,0,0,0,0,0,28,26,26,31,20,24,13,15,17,34,14,25,22,21
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Sporomusaceae;g__Pelosinus",0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,3,1,5,5,6,2,5,4,4,3,8
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__Anaerobacterium",0,0,0,0,0,0,0,0,0,0,0,0,16,13,18,2,0,4,8,7,0,4,13,0,7,20
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Inquilinaceae;g__Inquilinus",0,0,0,0,0,0,0,0,0,0,0,0,36,30,40,40,54,37,49,24,28,23,57,46,26,23
"d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,8,5,0,3,7,3,0,0,8,5,6
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__Sphaerisporangium",0,0,0,0,0,0,0,0,0,0,0,0,11,19,41,17,25,31,9,9,6,10,20,18,16,11
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus",0,0,0,0,0,0,0,0,0,0,0,0,63,49,60,50,50,40,55,50,41,55,34,32,66,48
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Cryptosporangiaceae;g__Cryptosporangium",0,0,0,0,0,0,0,0,0,0,0,0,289,405,298,283,308,316,317,253,283,319,366,358,365,302
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__Terriglobus",0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,1,9,0,8,8,0,0,1,6,3
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospiraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,5,0,5,1,3,2,0,13,8,5
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,2,9,4,14,9,0,2,11,7,8,4,7,0,8
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,17,13,17,10,10,15,19,12,13,29,15,9,19,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Porphyrobacter",0,0,0,0,0,0,0,0,0,0,0,0,9,11,5,7,7,7,6,7,0,8,19,0,6,7
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Amnibacterium",0,0,0,0,0,0,0,0,0,0,0,0,20,9,54,28,38,22,31,10,26,25,20,21,17,41
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,14,10,5,4,1,3,0,0,0,0,7,2,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae;g__Cytophagaceae",0,0,0,0,0,0,0,0,0,0,0,0,33,19,26,11,20,23,36,17,32,16,11,8,35,10
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Fibrella",0,0,0,0,0,0,0,0,0,0,0,0,20,25,8,21,10,7,7,8,9,22,9,20,13,10
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,9,12,10,3,0,0,16,0,15,0,0
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UTCFX1",0,0,0,0,0,0,0,0,0,0,0,0,49,48,41,45,66,59,23,34,34,20,33,46,23,27
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Ellin6055",0,0,0,0,0,0,0,0,0,0,0,0,172,162,128,159,156,179,129,145,189,149,122,189,172,172
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Cystobacter",0,0,0,0,0,0,0,0,0,0,0,0,21,21,44,32,28,18,28,16,11,20,15,19,27,15
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Terribacillus",0,0,0,0,0,0,0,0,0,0,0,0,13,3,13,5,0,4,0,13,4,4,11,2,17,7
